                                                    Concept  PeriodEnd                                                                                                                                                   Dims         Value
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                                                                                                                                         1.654400e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                                                                                         1.584600e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                                                                                                                                         1.492500e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                                               srt:ProductOrServiceAxis:us-gaap:ProductMember; srt:StatementGeographicalAxis:country:US  6.327000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                                         srt:ProductOrServiceAxis:us-gaap:ProductMember; srt:StatementGeographicalAxis:srt:EuropeMember  4.891000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                  srt:ProductOrServiceAxis:us-gaap:ProductMember; us-gaap:StatementBusinessSegmentsAxis:teva:InternationalMarketsMember  2.280000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                       srt:ProductOrServiceAxis:us-gaap:ProductMember; us-gaap:StatementBusinessSegmentsAxis:teva:OtherActivitiesMember  9.330000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                                                                                         srt:ProductOrServiceAxis:us-gaap:ProductMember  1.443000e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                                               srt:ProductOrServiceAxis:us-gaap:LicenseMember; srt:StatementGeographicalAxis:country:US  1.030000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                                         srt:ProductOrServiceAxis:us-gaap:LicenseMember; srt:StatementGeographicalAxis:srt:EuropeMember  3.500000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                  srt:ProductOrServiceAxis:us-gaap:LicenseMember; us-gaap:StatementBusinessSegmentsAxis:teva:InternationalMarketsMember  2.400000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                       srt:ProductOrServiceAxis:us-gaap:LicenseMember; us-gaap:StatementBusinessSegmentsAxis:teva:OtherActivitiesMember  1.100000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                                                                                         srt:ProductOrServiceAxis:us-gaap:LicenseMember  1.730000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                                   srt:ProductOrServiceAxis:us-gaap:DistributionServiceMember; srt:StatementGeographicalAxis:country:US  1.536000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                             srt:ProductOrServiceAxis:us-gaap:DistributionServiceMember; srt:StatementGeographicalAxis:srt:EuropeMember  1.000000e+06
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                      srt:ProductOrServiceAxis:us-gaap:DistributionServiceMember; us-gaap:StatementBusinessSegmentsAxis:teva:InternationalMarketsMember  3.900000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                                                                             srt:ProductOrServiceAxis:us-gaap:DistributionServiceMember  1.576000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                                srt:ProductOrServiceAxis:us-gaap:ProductAndServiceOtherMember; srt:StatementGeographicalAxis:country:US  6.800000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                          srt:ProductOrServiceAxis:us-gaap:ProductAndServiceOtherMember; srt:StatementGeographicalAxis:srt:EuropeMember  1.760000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                   srt:ProductOrServiceAxis:us-gaap:ProductAndServiceOtherMember; us-gaap:StatementBusinessSegmentsAxis:teva:InternationalMarketsMember  1.210000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                                                                          srt:ProductOrServiceAxis:us-gaap:ProductAndServiceOtherMember  3.650000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                                                                                               srt:StatementGeographicalAxis:country:US  8.034000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                                                                                         srt:StatementGeographicalAxis:srt:EuropeMember  5.103000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                                                                  us-gaap:StatementBusinessSegmentsAxis:teva:InternationalMarketsMember  2.463000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                                                                       us-gaap:StatementBusinessSegmentsAxis:teva:OtherActivitiesMember  9.440000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                                                                                                                                         1.654400e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                               srt:ProductOrServiceAxis:us-gaap:ProductMember; srt:StatementGeographicalAxis:country:US  5.554000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                         srt:ProductOrServiceAxis:us-gaap:ProductMember; srt:StatementGeographicalAxis:srt:EuropeMember  4.631000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                  srt:ProductOrServiceAxis:us-gaap:ProductMember; us-gaap:StatementBusinessSegmentsAxis:teva:InternationalMarketsMember  2.229000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                       srt:ProductOrServiceAxis:us-gaap:ProductMember; us-gaap:StatementBusinessSegmentsAxis:teva:OtherActivitiesMember  5.650000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                                         srt:ProductOrServiceAxis:us-gaap:ProductMember  1.297900e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                               srt:ProductOrServiceAxis:us-gaap:LicenseMember; srt:StatementGeographicalAxis:country:US  5.970000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                         srt:ProductOrServiceAxis:us-gaap:LicenseMember; srt:StatementGeographicalAxis:srt:EuropeMember  5.100000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                  srt:ProductOrServiceAxis:us-gaap:LicenseMember; us-gaap:StatementBusinessSegmentsAxis:teva:InternationalMarketsMember  2.800000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                       srt:ProductOrServiceAxis:us-gaap:LicenseMember; us-gaap:StatementBusinessSegmentsAxis:teva:OtherActivitiesMember  5.000000e+06
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                                         srt:ProductOrServiceAxis:us-gaap:LicenseMember  6.810000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                   srt:ProductOrServiceAxis:us-gaap:DistributionServiceMember; srt:StatementGeographicalAxis:country:US  1.577000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                      srt:ProductOrServiceAxis:us-gaap:DistributionServiceMember; us-gaap:StatementBusinessSegmentsAxis:teva:InternationalMarketsMember  3.800000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                             srt:ProductOrServiceAxis:us-gaap:DistributionServiceMember  1.615000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                srt:ProductOrServiceAxis:us-gaap:ProductAndServiceOtherMember; srt:StatementGeographicalAxis:country:US  2.000000e+06
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                          srt:ProductOrServiceAxis:us-gaap:ProductAndServiceOtherMember; srt:StatementGeographicalAxis:srt:EuropeMember  1.550000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                   srt:ProductOrServiceAxis:us-gaap:ProductAndServiceOtherMember; us-gaap:StatementBusinessSegmentsAxis:teva:InternationalMarketsMember  5.700000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                        srt:ProductOrServiceAxis:us-gaap:ProductAndServiceOtherMember; us-gaap:StatementBusinessSegmentsAxis:teva:OtherActivitiesMember  3.570000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                          srt:ProductOrServiceAxis:us-gaap:ProductAndServiceOtherMember  5.700000e+08
